user_query,intent,role,requires_login
What programs do you offer?,programs_overview,public,no
What programs are available?,programs_overview,public,no
Ano ang mga program na ino-offer ninyo?,programs_overview,public,no
Anong programs ang meron kayo?,programs_overview,public,no
What learning programs can I choose from?,programs_overview,public,no
May programs ba kayo for different learners?,programs_overview,public,no
Can you help me with this: what programs do you offer?,programs_overview,public,no
Quick question: what programs are available?,programs_overview,public,no
"Just checking, ano ang mga program na ino-offer ninyo?",programs_overview,public,no
Please tell me anong programs ang meron kayo??,programs_overview,public,no
Can you tell me what learning programs can i choose from??,programs_overview,public,no
"Paki-explain, may programs ba kayo for different learners??",programs_overview,public,no
Gusto kong malaman: what programs do you offer?,programs_overview,public,no
"Pwede bang sabihin, what programs are available??",programs_overview,public,no
"Hi, ano ang mga program na ino-offer ninyo??",programs_overview,public,no
"Hello, what learning programs can i choose from??",programs_overview,public,no
"Pwede po bang malaman, what programs do you offer?",programs_overview,public,no
Can you list all the programs you have?,programs_overview,public,no
What is the Toddlers Playgroup?,toddlers_playgroup,public,no
Tell me about Toddlers Playgroup.,toddlers_playgroup,public,no
Para saan ang Toddlers Playgroup?,toddlers_playgroup,public,no
Ano ang ginagawa sa Toddlers Playgroup?,toddlers_playgroup,public,no
Is there a program for toddlers?,toddlers_playgroup,public,no
May playgroup ba para sa toddlers?,toddlers_playgroup,public,no
Can you help me with this: what is the toddlers playgroup?,toddlers_playgroup,public,no
Quick question: tell me about toddlers playgroup.,toddlers_playgroup,public,no
"Just checking, para saan ang toddlers playgroup?",toddlers_playgroup,public,no
Please tell me ano ang ginagawa sa toddlers playgroup??,toddlers_playgroup,public,no
Can you tell me is there a program for toddlers??,toddlers_playgroup,public,no
"Paki-explain, may playgroup ba para sa toddlers??",toddlers_playgroup,public,no
Gusto kong malaman: what is the toddlers playgroup?,toddlers_playgroup,public,no
"Pwede bang sabihin, tell me about toddlers playgroup.?",toddlers_playgroup,public,no
"Hi, para saan ang toddlers playgroup??",toddlers_playgroup,public,no
"Hello, is there a program for toddlers??",toddlers_playgroup,public,no
