user_query,intent,role,requires_login
What is my tutor schedule?,own_schedule,tutor,yes
Can I see my own teaching schedule?,own_schedule,tutor,yes
Nasaan ang schedule ko bilang tutor?,own_schedule,tutor,yes
What classes am I assigned to?,own_schedule,tutor,yes
Pwede ko bang makita ang teaching schedule ko?,own_schedule,tutor,yes
Kailan ang mga sessions ko?,own_schedule,tutor,yes
Can you help me with this: what is my tutor schedule?,own_schedule,tutor,yes
Quick question: can i see my own teaching schedule?,own_schedule,tutor,yes
"Just checking, nasaan ang schedule ko bilang tutor?",own_schedule,tutor,yes
Please tell me what classes am i assigned to??,own_schedule,tutor,yes
Can you tell me pwede ko bang makita ang teaching schedule ko??,own_schedule,tutor,yes
"Paki-explain, kailan ang mga sessions ko??",own_schedule,tutor,yes
Gusto kong malaman: what is my tutor schedule?,own_schedule,tutor,yes
"Pwede bang sabihin, can i see my own teaching schedule??",own_schedule,tutor,yes
"Hi, nasaan ang schedule ko bilang tutor??",own_schedule,tutor,yes
"Hello, pwede ko bang makita ang teaching schedule ko??",own_schedule,tutor,yes
"Pwede po bang malaman, what is my tutor schedule?",own_schedule,tutor,yes
Where can I find my class schedule?,own_schedule,tutor,yes
Can I view my teaching schedule?,view_schedule,tutor,yes
Where can I see my tutor schedule?,view_schedule,tutor,yes
Paano makita ang teaching schedule ko?,view_schedule,tutor,yes
Can I check my assigned schedule?,view_schedule,tutor,yes
Nasaan ang schedule ng teaching sessions ko?,view_schedule,tutor,yes
Pwede ko bang tingnan ang schedule ko?,view_schedule,tutor,yes
Can you help me with this: can i view my teaching schedule?,view_schedule,tutor,yes
Quick question: where can i see my tutor schedule?,view_schedule,tutor,yes
"Just checking, paano makita ang teaching schedule ko?",view_schedule,tutor,yes
Please tell me can i check my assigned schedule??,view_schedule,tutor,yes
Can you tell me nasaan ang schedule ng teaching sessions ko??,view_schedule,tutor,yes
"Paki-explain, pwede ko bang tingnan ang schedule ko??",view_schedule,tutor,yes
Gusto kong malaman: can i view my teaching schedule?,view_schedule,tutor,yes
"Pwede bang sabihin, where can i see my tutor schedule??",view_schedule,tutor,yes
"Hi, paano makita ang teaching schedule ko??",view_schedule,tutor,yes
"Hello, nasaan ang schedule ng teaching sessions ko??",view_schedule,tutor,yes
"Pwede po bang malaman, can i view my teaching schedule?",view_schedule,tutor,yes
"Pa-help naman, where can i see my tutor schedule?",view_schedule,tutor,yes
How do I mark attendance?,mark_attendance,tutor,yes
How can I record attendance for a session?,mark_attendance,tutor,yes
Paano mag-mark ng attendance?,mark_attendance,tutor,yes
Saan ko ilalagay ang attendance?,mark_attendance,tutor,yes
How do I record who attended?,mark_attendance,tutor,yes
Paano ko ire-record ang attendance?,mark_attendance,tutor,yes
Can you help me with this: how do i mark attendance?,mark_attendance,tutor,yes
Quick question: how can i record attendance for a session?,mark_attendance,tutor,yes
"Just checking, paano mag-mark ng attendance?",mark_attendance,tutor,yes
Please tell me saan ko ilalagay ang attendance??,mark_attendance,tutor,yes
Can you tell me how do i record who attended??,mark_attendance,tutor,yes
"Paki-explain, paano ko ire-record ang attendance??",mark_attendance,tutor,yes
Gusto kong malaman: how do i mark attendance?,mark_attendance,tutor,yes
"Pwede bang sabihin, how can i record attendance for a session??",mark_attendance,tutor,yes
"Hi, paano mag-mark ng attendance??",mark_attendance,tutor,yes
"Hello, how do i record who attended??",mark_attendance,tutor,yes
"Pwede po bang malaman, how do i mark attendance?",mark_attendance,tutor,yes
"Pa-help naman, how can i record attendance for a session?",mark_attendance,tutor,yes
Can I mark attendance for my students?,student_attendance,tutor,yes
Can I record attendance for my assigned students?,student_attendance,tutor,yes
Pwede ko bang i-mark ang attendance ng students ko?,student_attendance,tutor,yes
How do I record my students' attendance?,student_attendance,tutor,yes
Can I update attendance for my learners?,student_attendance,tutor,yes
Saan ko makikita at mamamarkahan ang attendance ng students ko?,student_attendance,tutor,yes
Can you help me with this: can i mark attendance for my students?,student_attendance,tutor,yes
Quick question: can i record attendance for my assigned students?,student_attendance,tutor,yes
"Just checking, pwede ko bang i-mark ang attendance ng students ko?",student_attendance,tutor,yes
Please tell me how do i record my students' attendance??,student_attendance,tutor,yes
Can you tell me can i update attendance for my learners??,student_attendance,tutor,yes
"Paki-explain, saan ko makikita at mamamarkahan ang attendance ng students ko??",student_attendance,tutor,yes
Gusto kong malaman: can i mark attendance for my students?,student_attendance,tutor,yes
"Pwede bang sabihin, can i record attendance for my assigned students??",student_attendance,tutor,yes
"Hi, pwede ko bang i-mark ang attendance ng students ko??",student_attendance,tutor,yes
"Hello, can i update attendance for my learners??",student_attendance,tutor,yes
"Pwede po bang malaman, can i mark attendance for my students?",student_attendance,tutor,yes
"Pa-help naman, can i record attendance for my assigned students?",student_attendance,tutor,yes
How do I set my availability?,set_availability,tutor,yes
Where can I set the times I am available?,set_availability,tutor,yes
Paano i-set ang availability ko?,set_availability,tutor,yes
Can I enter my available teaching hours?,set_availability,tutor,yes
Saan ko ilalagay ang available hours ko?,set_availability,tutor,yes
How do I tell the system when I am available?,set_availability,tutor,yes
Can you help me with this: how do i set my availability?,set_availability,tutor,yes
Quick question: where can i set the times i am available?,set_availability,tutor,yes
"Just checking, paano i-set ang availability ko?",set_availability,tutor,yes
Please tell me can i enter my available teaching hours??,set_availability,tutor,yes
Can you tell me saan ko ilalagay ang available hours ko??,set_availability,tutor,yes
"Paki-explain, how do i tell the system when i am available??",set_availability,tutor,yes
Gusto kong malaman: how do i set my availability?,set_availability,tutor,yes
"Pwede bang sabihin, where can i set the times i am available??",set_availability,tutor,yes
"Hi, paano i-set ang availability ko??",set_availability,tutor,yes
"Hello, saan ko ilalagay ang available hours ko??",set_availability,tutor,yes
"Pwede po bang malaman, how do i set my availability?",set_availability,tutor,yes
"Pa-help naman, where can i set the times i am available?",set_availability,tutor,yes
Can I change my availability?,update_availability,tutor,yes
