user_query,intent,role,requires_login
How many tutors are registered?,tutor_count,admin,yes
How many tutors are in the system?,tutor_count,admin,yes
Ilang tutors ang registered?,tutor_count,admin,yes
Can I see the total tutor count?,tutor_count,admin,yes
What is the current number of tutors?,tutor_count,admin,yes
Ilang tutor accounts ang meron?,tutor_count,admin,yes
Can you help me with this: how many tutors are registered?,tutor_count,admin,yes
Quick question: how many tutors are in the system?,tutor_count,admin,yes
"Just checking, ilang tutors ang registered?",tutor_count,admin,yes
Please tell me can i see the total tutor count??,tutor_count,admin,yes
Can you tell me what is the current number of tutors??,tutor_count,admin,yes
"Paki-explain, ilang tutor accounts ang meron??",tutor_count,admin,yes
Gusto kong malaman: how many tutors are registered?,tutor_count,admin,yes
"Pwede bang sabihin, how many tutors are in the system??",tutor_count,admin,yes
"Hi, ilang tutors ang registered??",tutor_count,admin,yes
"Hello, what is the current number of tutors??",tutor_count,admin,yes
"Pwede po bang malaman, how many tutors are registered?",tutor_count,admin,yes
What is the current number of registered tutors?,tutor_count,admin,yes
How many students are registered?,student_count,admin,yes
How many students are in the system?,student_count,admin,yes
Ilang students ang registered?,student_count,admin,yes
Can I see the total student count?,student_count,admin,yes
What is the current number of students?,student_count,admin,yes
Ilang student accounts ang meron?,student_count,admin,yes
Can you help me with this: how many students are registered?,student_count,admin,yes
Quick question: how many students are in the system?,student_count,admin,yes
"Just checking, ilang students ang registered?",student_count,admin,yes
Please tell me can i see the total student count??,student_count,admin,yes
Can you tell me what is the current number of students??,student_count,admin,yes
"Paki-explain, ilang student accounts ang meron??",student_count,admin,yes
Gusto kong malaman: how many students are registered?,student_count,admin,yes
"Pwede bang sabihin, how many students are in the system??",student_count,admin,yes
"Hi, ilang students ang registered??",student_count,admin,yes
"Hello, what is the current number of students??",student_count,admin,yes
"Pwede po bang malaman, how many students are registered?",student_count,admin,yes
What is the current total number of enrolled students?,student_count,admin,yes
How many enrollments are there?,enrollment_count,admin,yes
What is the total enrollment count?,enrollment_count,admin,yes
Ilang enrollments ang meron?,enrollment_count,admin,yes
Can I see the number of enrollments?,enrollment_count,admin,yes
What is the current enrollment total?,enrollment_count,admin,yes
Ilang active enrollments ang nasa system?,enrollment_count,admin,yes
Can you help me with this: how many enrollments are there?,enrollment_count,admin,yes
Quick question: what is the total enrollment count?,enrollment_count,admin,yes
"Just checking, ilang enrollments ang meron?",enrollment_count,admin,yes
Please tell me can i see the number of enrollments??,enrollment_count,admin,yes
Can you tell me what is the current enrollment total??,enrollment_count,admin,yes
"Paki-explain, ilang active enrollments ang nasa system??",enrollment_count,admin,yes
Gusto kong malaman: how many enrollments are there?,enrollment_count,admin,yes
