user_query,intent,role,requires_login
What programs do you offer?,programs_overview,student_parent,no
What programs are available?,programs_overview,student_parent,no
Ano ang mga program na ino-offer ninyo?,programs_overview,student_parent,no
Anong programs ang meron kayo?,programs_overview,student_parent,no
What learning programs can I choose from?,programs_overview,student_parent,no
May programs ba kayo for different learners?,programs_overview,student_parent,no
Can you help me with this: what programs do you offer?,programs_overview,student_parent,no
Quick question: what programs are available?,programs_overview,student_parent,no
"Just checking, ano ang mga program na ino-offer ninyo?",programs_overview,student_parent,no
Please tell me anong programs ang meron kayo??,programs_overview,student_parent,no
Can you tell me what learning programs can i choose from??,programs_overview,student_parent,no
"Paki-explain, may programs ba kayo for different learners??",programs_overview,student_parent,no
Gusto kong malaman: what programs do you offer?,programs_overview,student_parent,no
"Pwede bang sabihin, what programs are available??",programs_overview,student_parent,no
"Hi, ano ang mga program na ino-offer ninyo??",programs_overview,student_parent,no
"Hello, what learning programs can i choose from??",programs_overview,student_parent,no
"Pwede po bang malaman, what programs do you offer?",programs_overview,student_parent,no
"Pa-help naman, what programs are available?",programs_overview,student_parent,no
What is the difference between the programs?,program_comparison,student_parent,no
How are the three programs different?,program_comparison,student_parent,no
Ano ang pagkakaiba ng mga programs?,program_comparison,student_parent,no
Which program is different from the others?,program_comparison,student_parent,no
Can you compare the programs?,program_comparison,student_parent,no
"Paano nagkakaiba ang Toddlers, Academic Tutorial, at Exam Preparation?",program_comparison,student_parent,no
Can you help me with this: what is the difference between the programs?,program_comparison,student_parent,no
Quick question: how are the three programs different?,program_comparison,student_parent,no
"Just checking, ano ang pagkakaiba ng mga programs?",program_comparison,student_parent,no
Please tell me which program is different from the others??,program_comparison,student_parent,no
Can you tell me can you compare the programs??,program_comparison,student_parent,no
"Paki-explain, paano nagkakaiba ang toddlers, academic tutorial, at exam preparation??",program_comparison,student_parent,no
Gusto kong malaman: what is the difference between the programs?,program_comparison,student_parent,no
"Pwede bang sabihin, how are the three programs different??",program_comparison,student_parent,no
"Hi, ano ang pagkakaiba ng mga programs??",program_comparison,student_parent,no
"Hello, can you compare the programs??",program_comparison,student_parent,no
"Pwede po bang malaman, what is the difference between the programs?",program_comparison,student_parent,no
"Pa-help naman, how are the three programs different?",program_comparison,student_parent,no
What are my grades?,grades,student_parent,yes
Can I check my grades?,grades,student_parent,yes
Show me my grades.,grades,student_parent,yes
Nasaan ang grades ko?,grades,student_parent,yes
Pwede ko bang makita grades ko?,grades,student_parent,yes
Kumusta ang grades ko?,grades,student_parent,yes
Can you help me with this: what are my grades?,grades,student_parent,yes
Quick question: can i check my grades?,grades,student_parent,yes
"Just checking, show me my grades.",grades,student_parent,yes
Please tell me nasaan ang grades ko??,grades,student_parent,yes
Can you tell me pwede ko bang makita grades ko??,grades,student_parent,yes
"Paki-explain, kumusta ang grades ko??",grades,student_parent,yes
Gusto kong malaman: what are my grades?,grades,student_parent,yes
"Pwede bang sabihin, can i check my grades??",grades,student_parent,yes
"Hi, show me my grades.?",grades,student_parent,yes
"Hello, pwede ko bang makita grades ko??",grades,student_parent,yes
"Pwede po bang malaman, what are my grades?",grades,student_parent,yes
How is my academic performance progressing?,grades,student_parent,yes
How am I progressing?,progress,student_parent,yes
Can I see my learning progress?,progress,student_parent,yes
Nasaan ang progress ko?,progress,student_parent,yes
How is my academic progress?,progress,student_parent,yes
